"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","89","","test_buy_now","","","","test_buy_now2",""
"failed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:11 CST 2022","79","","test_buy_now_params","","","","test_buy_now_params[sku_id已删除-18575-1-500-004-不合法]",""
"passed","Sun Jul 24 14:52:12 CST 2022","Sun Jul 24 14:52:13 CST 2022","243","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-BUY_NOW-MINI]",""
"failed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","77","","test_add_cart","TestAddCart","","","test_add_cart2",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:12 CST 2022","246","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-BUY_NOW-PC]",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:11 CST 2022","50","","test_cancel_order","TestCancelOrder","","","test_cacel_order",""
"passed","Sun Jul 24 14:52:12 CST 2022","Sun Jul 24 14:52:12 CST 2022","283","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-BUY_NOW-NATIVE]",""
"passed","Sun Jul 24 14:52:14 CST 2022","Sun Jul 24 14:52:14 CST 2022","261","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-CART-MINI]",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:11 CST 2022","110","","test_buy_now_params","","","","test_buy_now_params[num为-1-17418--1-400-004-购买数量必须大于0]",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:11 CST 2022","139","","test_buyer_login","","","","test_buyer_login",""
"passed","Sun Jul 24 14:52:14 CST 2022","Sun Jul 24 14:52:14 CST 2022","0","","test_yield","","","","test_yield",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:11 CST 2022","63","","test_buy_now_params","","","","test_buy_now_params[num为0-17418-0-400-004-购买数量必须大于0]",""
"passed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","38","","test_add_cart","TestAddCart","","","test_add_cart1",""
"passed","Sun Jul 24 14:52:14 CST 2022","Sun Jul 24 14:52:14 CST 2022","233","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-CART-REACT]",""
"passed","Sun Jul 24 14:52:13 CST 2022","Sun Jul 24 14:52:13 CST 2022","591","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-CART-WAP]",""
"passed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","84","","test_buy_now_params","","","","test_buy_now_params[sku_id不存在-83774663-1-500-004-不合法]",""
"passed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","60","","test_buy_now","","","","test_buy_now1",""
"passed","Sun Jul 24 14:52:12 CST 2022","Sun Jul 24 14:52:12 CST 2022","259","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-BUY_NOW-WAP]",""
"passed","Sun Jul 24 14:52:12 CST 2022","Sun Jul 24 14:52:12 CST 2022","231","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-BUY_NOW-REACT]",""
"passed","Sun Jul 24 14:52:13 CST 2022","Sun Jul 24 14:52:13 CST 2022","251","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-CART-PC]",""
"failed","Sun Jul 24 14:52:14 CST 2022","Sun Jul 24 14:52:14 CST 2022","82","","test_create_trade_params_dikaerji","TestAddCart","","","test_add_cart2",""
"failed","Sun Jul 24 14:52:10 CST 2022","Sun Jul 24 14:52:10 CST 2022","94","","test_buy_now_params","","","","test_buy_now_params[sku_id已下架-538-1-500-004-不合法]",""
"passed","Sun Jul 24 14:52:11 CST 2022","Sun Jul 24 14:52:11 CST 2022","105","","test_buy_now_params","","","","test_buy_now_params[num超过库存-17418-99999999-500-451-商品库存已不足，不能购买。]",""
"passed","Sun Jul 24 14:52:13 CST 2022","Sun Jul 24 14:52:14 CST 2022","223","","test_create_trade_params_dikaerji","TestCreateTrade","","","test_create_trade[200-CART-NATIVE]",""
"passed","Sun Jul 24 14:52:14 CST 2022","Sun Jul 24 14:52:14 CST 2022","43","","test_create_trade_params_dikaerji","TestAddCart","","","test_add_cart1",""
